State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Texas,2015,2732,27469114,9.9,9.6,10.3,0.2
Utah,1999,212,2203482,9.6,8.3,10.9,0.7
Utah,2000,224,2233169,10,8.7,11.3,0.7
Utah,2001,216,2283715,9.5,8.2,10.7,0.6
Utah,2002,300,2324815,12.9,11.4,14.4,0.7
Utah,2003,368,2360137,15.6,14,17.2,0.8
Utah,2004,411,2401580,17.1,15.5,18.8,0.8
Utah,2005,481,2457719,19.6,17.8,21.3,0.9
Utah,2006,481,2525507,19,17.3,20.7,0.9
Utah,2007,546,2597746,21,19.3,22.8,0.9
Utah,2008,483,2663029,18.1,16.5,19.8,0.8
Utah,2009,508,2723421,18.7,17,20.3,0.8
Utah,2010,457,2763885,16.5,15,18.1,0.8
Utah,2011,520,2817222,18.5,16.9,20,0.8
Utah,2012,612,2855287,21.4,19.7,23.1,0.9
Utah,2013,612,2900872,21.1,19.4,22.8,0.9
Utah,2014,617,2942902,21,19.3,22.6,0.8
Utah,2015,667,2995919,22.3,20.6,24,0.9
Vermont,1999,31,604683,5.1,3.5,7.3,0.9
Vermont,2000,37,608827,6.1,4.3,8.4,1
Vermont,2001,53,612223,8.7,6.5,11.3,1.2
Vermont,2002,54,615442,8.8,6.6,11.4,1.2
Vermont,2003,73,617858,11.8,9.3,14.9,1.4
Vermont,2004,52,619920,8.4,6.3,11,1.2
Vermont,2005,55,621215,8.9,6.7,11.5,1.2
Vermont,2006,83,622892,13.3,10.6,16.5,1.5
Vermont,2007,68,623481,10.9,8.5,13.8,1.3
Vermont,2008,76,624151,12.2,9.6,15.2,1.4
Vermont,2009,57,624817,9.1,6.9,11.8,1.2
Vermont,2010,68,625741,10.9,8.4,13.8,1.3
Vermont,2011,87,626431,13.9,11.1,17.1,1.5
Vermont,2012,81,626011,12.9,10.3,16.1,1.4
Vermont,2013,99,626630,15.8,12.8,19.2,1.6
Vermont,2014,90,626562,14.4,11.6,17.7,1.5
Vermont,2015,111,626042,17.7,14.4,21,1.7
Virginia,1999,391,7000174,5.6,5,6.1,0.3
Virginia,2000,441,7078515,6.2,5.6,6.8,0.3
Virginia,2001,503,7198362,7,6.4,7.6,0.3
Virginia,2002,527,7286873,7.2,6.6,7.8,0.3
Virginia,2003,580,7366977,7.9,7.2,8.5,0.3
Virginia,2004,595,7475575,8,7.3,8.6,0.3
Virginia,2005,617,7577105,8.1,7.5,8.8,0.3
Virginia,2006,670,7673725,8.7,8.1,9.4,0.3
Virginia,2007,713,7751000,9.2,8.5,9.9,0.3
Virginia,2008,730,7833496,9.3,8.6,10,0.3
Virginia,2009,700,7925937,8.8,8.2,9.5,0.3
Virginia,2010,571,8001024,7.1,6.6,7.7,0.3
Virginia,2011,817,8096604,10.1,9.4,10.8,0.4
Virginia,2012,755,8185867,9.2,8.6,9.9,0.3
Virginia,2013,890,8260405,10.8,10.1,11.5,0.4
Virginia,2014,1002,8326289,12,11.3,12.8,0.4
Virginia,2015,1070,8382993,12.8,12,13.5,0.4
Washington,1999,596,5842564,10.2,9.4,11,0.4
Washington,2000,599,5894121,10.2,9.3,11,0.4
Washington,2001,547,5985722,9.1,8.4,9.9,0.4
Washington,2002,694,6052349,11.5,10.6,12.3,0.4
Washington,2003,752,6104115,12.3,11.4,13.2,0.4
Washington,2004,888,6178645,14.4,13.4,15.3,0.5
Washington,2005,931,6257305,14.9,13.9,15.8,0.5
Washington,2006,970,6370753,15.2,14.3,16.2,0.5
Washington,2007,1003,6461587,15.5,14.6,16.5,0.5
Washington,2008,1058,6562231,16.1,15.2,17.1,0.5
Washington,2009,1031,6667426,15.5,14.5,16.4,0.5
Washington,2010,962,6724540,14.3,13.4,15.2,0.5
Washington,2011,1050,6830038,15.4,14.4,16.3,0.5
Washington,2012,1033,6897012,15,14.1,15.9,0.5
Washington,2013,1042,6971406,14.9,14,15.9,0.5
Washington,2014,1058,7061530,15,14.1,15.9,0.5
Washington,2015,1189,7170351,16.6,15.6,17.5,0.5
West Virginia,1999,80,1811799,4.4,3.5,5.5,0.5
West Virginia,2000,122,1808344,6.7,5.5,7.9,0.6
West Virginia,2001,217,1801481,12,10.4,13.6,0.8
West Virginia,2002,237,1805414,13.1,11.5,14.8,0.9
West Virginia,2003,279,1812295,15.4,13.6,17.2,0.9
West Virginia,2004,347,1816438,19.1,17.1,21.1,1
West Virginia,2005,197,1820492,10.8,9.3,12.3,0.8
West Virginia,2006,378,1827912,20.7,18.6,22.8,1.1
West Virginia,2007,405,1834052,22.1,19.9,24.2,1.1
West Virginia,2008,468,1840310,25.4,23.1,27.7,1.2
West Virginia,2009,235,1847775,12.7,11.1,14.3,0.8
West Virginia,2010,520,1852994,28.1,25.7,30.5,1.2
West Virginia,2011,645,1855364,34.8,32.1,37.4,1.4
West Virginia,2012,576,1855413,31,28.5,33.6,1.3
West Virginia,2013,583,1854304,31.4,28.9,34,1.3
West Virginia,2014,646,1850326,34.9,32.2,37.6,1.4
West Virginia,2015,750,1844128,40.7,37.8,43.6,1.5
Wisconsin,1999,237,5332666,4.4,3.9,5,0.3
Wisconsin,2000,278,5363675,5.2,4.6,5.8,0.3
Wisconsin,2001,297,5406835,5.5,4.9,6.1,0.3
Wisconsin,2002,364,5445162,6.7,6,7.4,0.4
Wisconsin,2003,433,5479203,7.9,7.2,8.6,0.4
Wisconsin,2004,483,5514026,8.8,8,9.5,0.4
Wisconsin,2005,561,5546166,10.1,9.3,11,0.4
Wisconsin,2006,642,5577655,11.5,10.6,12.4,0.5
Wisconsin,2007,639,5610775,11.4,10.5,12.3,0.5
Wisconsin,2008,622,5640996,11,10.2,11.9,0.4
Wisconsin,2009,641,5669264,11.3,10.4,12.2,0.4
Wisconsin,2010,635,5686986,11.2,10.3,12,0.4
Wisconsin,2011,712,5711767,12.5,11.5,13.4,0.5
Wisconsin,2012,714,5726398,12.5,11.6,13.4,0.5
Wisconsin,2013,874,5742713,15.2,14.2,16.2,0.5
Wisconsin,2014,874,5757564,15.2,14.2,16.2,0.5
Wisconsin,2015,894,5771337,15.5,14.5,16.5,0.5
Wyoming,1999,21,491780,4.3,2.6,6.5,0.9
Wyoming,2000,27,493782,5.5,3.6,8,1.1
Wyoming,2001,25,494657,5.1,3.3,7.5,1
Wyoming,2002,36,500017,7.2,5,10,1.2
Wyoming,2003,37,503453,7.3,5.2,10.1,1.2
Wyoming,2004,64,509106,12.6,9.7,16.1,1.6
Wyoming,2005,45,514157,8.8,6.4,11.7,1.3
Wyoming,2006,64,522667,12.2,9.4,15.6,1.5
Wyoming,2007,68,534876,12.7,9.9,16.1,1.5
Wyoming,2008,74,546043,13.6,10.6,17,1.6
Wyoming,2009,63,559851,11.3,8.6,14.4,1.4
Wyoming,2010,88,563626,15.6,12.5,19.2,1.7
Wyoming,2011,88,568158,15.5,12.4,19.1,1.7
Wyoming,2012,99,576412,17.2,14,20.9,1.7
Wyoming,2013,99,582658,17,13.8,20.7,1.7
Wyoming,2014,112,584153,19.2,15.6,22.7,1.8
Wyoming,2015,99,586107,16.9,13.7,20.6,1.7
